game_id,market,selection,line,price,odds_type,source_url,captured_utc
espn:401909088,total,line 221.5,221.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909088,spread,home -1.5,-1.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909089,total,line 231.5,231.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909089,spread,home -5.5,-5.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909090,total,line 230.5,230.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909090,spread,home -1.5,-1.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:24Z
espn:401909834,total,line 233.5,233.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909834,spread,home -2.5,-2.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909835,total,line 238.5,238.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909835,spread,home -6.5,-6.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909091,total,line 242.5,242.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909091,spread,home -1.5,-1.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909836,total,line 226.5,226.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909836,spread,home +4.5,4.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909838,total,line 241.5,241.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909838,spread,home +2.5,2.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
espn:401909839,total,line 242.5,242.5,-110.0,market_reference,https://site.web.api.espn.com/apis/site/v2/sports/basketball/nba/scoreboard,2026-09-21T02:39:25Z
