game_pk,season,official_date,game_date,game_type,away_team_id,away_team,away_score,home_team_id,home_team,home_score,home_win,total_runs,run_diff_home
413661,2015,2015-04-05,2015-04-05,R,138,St. Louis Cardinals,3,112,Chicago Cubs,0,0,3,-3
413649,2015,2015-04-06,2015-04-06,R,108,Los Angeles Angels,1,136,Seattle Mariners,4,1,5,3
413650,2015,2015-04-06,2015-04-06,R,144,Atlanta Braves,2,146,Miami Marlins,1,0,3,-1
413651,2015,2015-04-06,2015-04-06,R,110,Baltimore Orioles,6,139,Tampa Bay Rays,2,0,8,-4
413652,2015,2015-04-06,2015-04-06,R,111,Boston Red Sox,8,143,Philadelphia Phillies,0,0,8,-8
413653,2015,2015-04-06,2015-04-06,R,145,Chicago White Sox,1,118,Kansas City Royals,10,1,11,9
413654,2015,2015-04-06,2015-04-06,R,114,Cleveland Guardians,0,117,Houston Astros,2,1,2,2
413655,2015,2015-04-06,2015-04-06,R,115,Colorado Rockies,10,158,Milwaukee Brewers,0,0,10,-10
413656,2015,2015-04-06,2015-04-06,R,142,Minnesota Twins,0,116,Detroit Tigers,4,1,4,4
413657,2015,2015-04-06,2015-04-06,R,121,New York Mets,3,120,Washington Nationals,1,0,4,-2
413658,2015,2015-04-06,2015-04-06,R,134,Pittsburgh Pirates,2,113,Cincinnati Reds,5,1,7,3
413659,2015,2015-04-06,2015-04-06,R,135,San Diego Padres,3,119,Los Angeles Dodgers,6,1,9,3
413660,2015,2015-04-06,2015-04-06,R,137,San Francisco Giants,5,109,Arizona Diamondbacks,4,0,9,-1
413662,2015,2015-04-06,2015-04-06,R,140,Texas Rangers,0,133,Athletics,8,1,8,8
413663,2015,2015-04-06,2015-04-06,R,141,Toronto Blue Jays,6,147,New York Yankees,1,0,7,-5
413664,2015,2015-04-07,2015-04-07,R,108,Los Angeles Angels,2,136,Seattle Mariners,0,0,2,-2
413665,2015,2015-04-07,2015-04-07,R,144,Atlanta Braves,12,146,Miami Marlins,2,0,14,-10
413666,2015,2015-04-07,2015-04-07,R,110,Baltimore Orioles,6,139,Tampa Bay Rays,5,0,11,-1
413667,2015,2015-04-07,2015-04-07,R,115,Colorado Rockies,5,158,Milwaukee Brewers,2,0,7,-3
413668,2015,2015-04-07,2015-04-07,R,135,San Diego Padres,7,119,Los Angeles Dodgers,3,0,10,-4
413669,2015,2015-04-07,2015-04-07,R,137,San Francisco Giants,6,109,Arizona Diamondbacks,7,1,13,1
413670,2015,2015-04-07,2015-04-07,R,140,Texas Rangers,3,133,Athletics,1,0,4,-2
413671,2015,2015-04-08,2015-04-08,R,108,Los Angeles Angels,5,136,Seattle Mariners,3,0,8,-2
413672,2015,2015-04-08,2015-04-08,R,144,Atlanta Braves,2,146,Miami Marlins,0,0,2,-2
413673,2015,2015-04-08,2015-04-08,R,110,Baltimore Orioles,0,139,Tampa Bay Rays,2,1,2,2
413674,2015,2015-04-08,2015-04-08,R,111,Boston Red Sox,2,143,Philadelphia Phillies,4,1,6,2
413675,2015,2015-04-08,2015-04-08,R,145,Chicago White Sox,5,118,Kansas City Royals,7,1,12,2
413676,2015,2015-04-08,2015-04-08,R,114,Cleveland Guardians,2,117,Houston Astros,0,0,2,-2
413677,2015,2015-04-08,2015-04-08,R,115,Colorado Rockies,5,158,Milwaukee Brewers,4,0,9,-1
413678,2015,2015-04-08,2015-04-08,R,142,Minnesota Twins,0,116,Detroit Tigers,11,1,11,11
413679,2015,2015-04-08,2015-04-08,R,121,New York Mets,1,120,Washington Nationals,2,1,3,1
413680,2015,2015-04-08,2015-04-08,R,134,Pittsburgh Pirates,4,113,Cincinnati Reds,5,1,9,1
413681,2015,2015-04-08,2015-04-08,R,135,San Diego Padres,4,119,Los Angeles Dodgers,7,1,11,3
413682,2015,2015-04-08,2015-04-08,R,137,San Francisco Giants,5,109,Arizona Diamondbacks,2,0,7,-3
413684,2015,2015-04-08,2015-04-08,R,140,Texas Rangers,0,133,Athletics,10,1,10,10
413685,2015,2015-04-08,2015-04-08,R,141,Toronto Blue Jays,3,147,New York Yankees,4,1,7,1
413693,2015,2015-04-08,2015-04-08,R,138,St. Louis Cardinals,0,112,Chicago Cubs,2,1,2,2
413686,2015,2015-04-09,2015-04-09,R,111,Boston Red Sox,6,143,Philadelphia Phillies,2,0,8,-4
413687,2015,2015-04-09,2015-04-09,R,145,Chicago White Sox,1,118,Kansas City Royals,4,1,5,3
413688,2015,2015-04-09,2015-04-09,R,114,Cleveland Guardians,5,117,Houston Astros,1,0,6,-4
413689,2015,2015-04-09,2015-04-09,R,142,Minnesota Twins,1,116,Detroit Tigers,7,1,8,6
413690,2015,2015-04-09,2015-04-09,R,121,New York Mets,6,120,Washington Nationals,3,0,9,-3
413691,2015,2015-04-09,2015-04-09,R,134,Pittsburgh Pirates,2,113,Cincinnati Reds,3,1,5,1
413692,2015,2015-04-09,2015-04-09,R,137,San Francisco Giants,1,135,San Diego Padres,0,0,1,-1
413694,2015,2015-04-09,2015-04-09,R,140,Texas Rangers,10,133,Athletics,1,0,11,-9
413695,2015,2015-04-09,2015-04-09,R,141,Toronto Blue Jays,6,147,New York Yankees,3,0,9,-3
413696,2015,2015-04-10,2015-04-10,R,111,Boston Red Sox,6,147,New York Yankees,5,0,11,-1
413697,2015,2015-04-10,2015-04-10,R,112,Chicago Cubs,1,115,Colorado Rockies,5,1,6,4
413698,2015,2015-04-10,2015-04-10,R,116,Detroit Tigers,8,114,Cleveland Guardians,4,0,12,-4
413699,2015,2015-04-10,2015-04-10,R,117,Houston Astros,5,140,Texas Rangers,1,0,6,-4
413700,2015,2015-04-10,2015-04-10,R,118,Kansas City Royals,4,108,Los Angeles Angels,2,0,6,-2
413701,2015,2015-04-10,2015-04-10,R,119,Los Angeles Dodgers,3,109,Arizona Diamondbacks,4,1,7,1
413702,2015,2015-04-10,2015-04-10,R,142,Minnesota Twins,6,145,Chicago White Sox,0,0,6,-6
413703,2015,2015-04-10,2015-04-10,R,121,New York Mets,3,144,Atlanta Braves,5,1,8,2
413704,2015,2015-04-10,2015-04-10,R,134,Pittsburgh Pirates,6,158,Milwaukee Brewers,2,0,8,-4
413705,2015,2015-04-10,2015-04-10,R,136,Seattle Mariners,0,133,Athletics,12,1,12,12
413706,2015,2015-04-10,2015-04-10,R,137,San Francisco Giants,0,135,San Diego Padres,1,1,1,1
413707,2015,2015-04-10,2015-04-10,R,138,St. Louis Cardinals,4,113,Cincinnati Reds,5,1,9,1
413708,2015,2015-04-10,2015-04-10,R,139,Tampa Bay Rays,9,146,Miami Marlins,10,1,19,1
413709,2015,2015-04-10,2015-04-10,R,141,Toronto Blue Jays,12,110,Baltimore Orioles,5,0,17,-7
413710,2015,2015-04-10,2015-04-10,R,120,Washington Nationals,1,143,Philadelphia Phillies,4,1,5,3
413711,2015,2015-04-11,2015-04-11,R,111,Boston Red Sox,8,147,New York Yankees,4,0,12,-4
413712,2015,2015-04-11,2015-04-11,R,112,Chicago Cubs,9,115,Colorado Rockies,5,0,14,-4
413713,2015,2015-04-11,2015-04-11,R,116,Detroit Tigers,9,114,Cleveland Guardians,6,0,15,-3
413714,2015,2015-04-11,2015-04-11,R,117,Houston Astros,2,140,Texas Rangers,6,1,8,4
413715,2015,2015-04-11,2015-04-11,R,118,Kansas City Royals,6,108,Los Angeles Angels,4,0,10,-2
413716,2015,2015-04-11,2015-04-11,R,119,Los Angeles Dodgers,0,109,Arizona Diamondbacks,6,1,6,6
413717,2015,2015-04-11,2015-04-11,R,142,Minnesota Twins,4,145,Chicago White Sox,5,1,9,1
413718,2015,2015-04-11,2015-04-11,R,121,New York Mets,3,144,Atlanta Braves,5,1,8,2
413719,2015,2015-04-11,2015-04-11,R,134,Pittsburgh Pirates,0,158,Milwaukee Brewers,6,1,6,6
413720,2015,2015-04-11,2015-04-11,R,136,Seattle Mariners,5,133,Athletics,4,0,9,-1
413721,2015,2015-04-11,2015-04-11,R,137,San Francisco Giants,2,135,San Diego Padres,10,1,12,8
413722,2015,2015-04-11,2015-04-11,R,138,St. Louis Cardinals,4,113,Cincinnati Reds,1,0,5,-3
413723,2015,2015-04-11,2015-04-11,R,139,Tampa Bay Rays,2,146,Miami Marlins,0,0,2,-2
413724,2015,2015-04-11,2015-04-11,R,141,Toronto Blue Jays,1,110,Baltimore Orioles,7,1,8,6
413725,2015,2015-04-11,2015-04-11,R,120,Washington Nationals,2,143,Philadelphia Phillies,3,1,5,1
413726,2015,2015-04-12,2015-04-12,R,111,Boston Red Sox,4,147,New York Yankees,14,1,18,10
413727,2015,2015-04-12,2015-04-12,R,112,Chicago Cubs,6,115,Colorado Rockies,5,0,11,-1
413728,2015,2015-04-12,2015-04-12,R,116,Detroit Tigers,8,114,Cleveland Guardians,5,0,13,-3
413729,2015,2015-04-12,2015-04-12,R,117,Houston Astros,6,140,Texas Rangers,4,0,10,-2
413730,2015,2015-04-12,2015-04-12,R,118,Kansas City Royals,9,108,Los Angeles Angels,2,0,11,-7
413731,2015,2015-04-12,2015-04-12,R,119,Los Angeles Dodgers,7,109,Arizona Diamondbacks,4,0,11,-3
413732,2015,2015-04-12,2015-04-12,R,142,Minnesota Twins,2,145,Chicago White Sox,6,1,8,4
413733,2015,2015-04-12,2015-04-12,R,121,New York Mets,4,144,Atlanta Braves,3,0,7,-1
413734,2015,2015-04-12,2015-04-12,R,134,Pittsburgh Pirates,10,158,Milwaukee Brewers,2,0,12,-8
413735,2015,2015-04-12,2015-04-12,R,136,Seattle Mariners,8,133,Athletics,7,0,15,-1
413736,2015,2015-04-12,2015-04-12,R,137,San Francisco Giants,4,135,San Diego Padres,6,1,10,2
413737,2015,2015-04-12,2015-04-12,R,138,St. Louis Cardinals,7,113,Cincinnati Reds,5,0,12,-2
413738,2015,2015-04-12,2015-04-12,R,139,Tampa Bay Rays,8,146,Miami Marlins,5,0,13,-3
413739,2015,2015-04-12,2015-04-12,R,141,Toronto Blue Jays,10,110,Baltimore Orioles,7,0,17,-3
413740,2015,2015-04-12,2015-04-12,R,120,Washington Nationals,4,143,Philadelphia Phillies,3,0,7,-1
413741,2015,2015-04-13,2015-04-13,R,108,Los Angeles Angels,6,140,Texas Rangers,3,0,9,-3
413742,2015,2015-04-13,2015-04-13,R,109,Arizona Diamondbacks,8,135,San Diego Padres,4,0,12,-4
413743,2015,2015-04-13,2015-04-13,R,113,Cincinnati Reds,6,112,Chicago Cubs,7,1,13,1
413744,2015,2015-04-13,2015-04-13,R,115,Colorado Rockies,2,137,San Francisco Giants,0,0,2,-2
413745,2015,2015-04-13,2015-04-13,R,116,Detroit Tigers,4,134,Pittsburgh Pirates,5,1,9,1
413746,2015,2015-04-13,2015-04-13,R,118,Kansas City Royals,12,142,Minnesota Twins,3,0,15,-9
413747,2015,2015-04-13,2015-04-13,R,146,Miami Marlins,2,144,Atlanta Braves,3,1,5,1
413748,2015,2015-04-13,2015-04-13,R,158,Milwaukee Brewers,5,138,St. Louis Cardinals,4,0,9,-1
413749,2015,2015-04-13,2015-04-13,R,147,New York Yankees,6,110,Baltimore Orioles,5,0,11,-1
413750,2015,2015-04-13,2015-04-13,R,133,Athletics,8,117,Houston Astros,1,0,9,-7
413751,2015,2015-04-13,2015-04-13,R,143,Philadelphia Phillies,0,121,New York Mets,2,1,2,2
